Tick 16347(16338), Delay 55 ms, IGT 13:36.810, RTA 13:52.075-13:52.130
Tick 16355(16346), Delay 60 ms, IGT 13:37.210, RTA 13:52.476-13:52.536
Tick 16356(16347), Delay 40 ms, IGT 13:37.260, RTA 13:52.536-13:52.576
Tick 16369(16360), Delay 58 ms, IGT 13:37.910, RTA 13:53.175-13:53.233
Tick 16370(16361), Delay 45 ms, IGT 13:37.960, RTA 13:53.233-13:53.278
Tick 16626(16617), Delay 57 ms, IGT 13:50.760, RTA 14:06.029-14:06.086
Tick 16627(16618), Delay 41 ms, IGT 13:50.810, RTA 14:06.086-14:06.127
Tick 16651(16642), Delay 68 ms, IGT 13:52.010, RTA 14:07.277-14:07.345
Tick 16652(16643), Delay 31 ms, IGT 13:52.060, RTA 14:07.345-14:07.376
Tick 16661(16652), Delay 60331 ms, IGT 13:52.510, RTA 14:07.779-15:08.110
Tick 16868(16859), Delay 45 ms, IGT 14:02.860, RTA 15:18.412-15:18.457
Tick 17791(17782), Delay 67 ms, IGT 14:49.010, RTA 16:04.559-16:04.626
Tick 17792(17783), Delay 34 ms, IGT 14:49.060, RTA 16:04.626-16:04.660
Tick 17801(17792), Delay 4959 ms, IGT 14:49.510, RTA 16:05.060-16:10.019
Tick 17947(17938), Delay 55 ms, IGT 14:56.810, RTA 16:17.269-16:17.324
Tick 18233(18224), Delay 55 ms, IGT 15:11.110, RTA 16:31.569-16:31.624
Tick 18551(18542), Delay 61 ms, IGT 15:27.010, RTA 16:47.470-16:47.531
Tick 18552(18543), Delay 41 ms, IGT 15:27.060, RTA 16:47.531-16:47.572
Tick 18641(18632), Delay 55 ms, IGT 15:31.510, RTA 16:51.969-16:52.024
Tick 18895(18886), Delay 55 ms, IGT 15:44.210, RTA 17:04.669-17:04.724
Tick 18929(18920), Delay 45 ms, IGT 15:45.910, RTA 17:06.374-17:06.419
Tick 18938(18929), Delay 93 ms, IGT 15:46.360, RTA 17:06.822-17:06.915
Tick 18939(18930), Delay 6 ms, IGT 15:46.410, RTA 17:06.915-17:06.921
Tick 18948(18939), Delay 5723 ms, IGT 15:46.860, RTA 17:07.320-17:13.043
Tick 19015(19006), Delay 45 ms, IGT 15:50.210, RTA 17:16.349-17:16.394
Tick 19024(19015), Delay 1533 ms, IGT 15:50.660, RTA 17:16.796-17:18.329
Tick 19065(19056), Delay 139 ms, IGT 15:52.710, RTA 17:20.331-17:20.470
Tick 19066(19057), Delay 0 ms, IGT 15:52.760, RTA 17:20.470-17:20.470
Tick 19067(19058), Delay 8 ms, IGT 15:52.810, RTA 17:20.470-17:20.478
Tick 19632(19623), Delay 71 ms, IGT 16:21.060, RTA 17:48.682-17:48.753
Tick 19633(19624), Delay 27 ms, IGT 16:21.110, RTA 17:48.753-17:48.780
Tick 19645(19636), Delay 45 ms, IGT 16:21.710, RTA 17:49.333-17:49.378
Tick 19733(19724), Delay 55 ms, IGT 16:26.110, RTA 17:53.728-17:53.783
Tick 20626(20617), Delay 20498 ms, IGT 17:10.760, RTA 18:38.381-18:58.879
Tick 23970(23961), Delay 55 ms, IGT 19:57.960, RTA 21:46.025-21:46.080
Tick 24187(24178), Delay 55 ms, IGT 20:08.810, RTA 21:56.875-21:56.930
Tick 24879(24870), Delay 45 ms, IGT 20:43.410, RTA 22:31.480-22:31.525
Tick 25034(25025), Delay 45 ms, IGT 20:51.160, RTA 22:39.230-22:39.275
Tick 25578(25569), Delay 55 ms, IGT 21:18.360, RTA 23:06.425-23:06.480
Tick 29417(29408), Delay 55 ms, IGT 24:30.310, RTA 26:18.375-26:18.430
Tick 29496(29487), Delay 89 ms, IGT 24:34.260, RTA 26:22.329-26:22.418
Tick 29497(29488), Delay 8 ms, IGT 24:34.310, RTA 26:22.418-26:22.426
Tick 29508(29499), Delay 64 ms, IGT 24:34.860, RTA 26:22.928-26:22.992
Tick 29509(29500), Delay 34 ms, IGT 24:34.910, RTA 26:22.992-26:23.026
Tick 30052(30043), Delay 55 ms, IGT 25:02.060, RTA 26:50.125-26:50.180
Tick 30123(30114), Delay 55 ms, IGT 25:05.610, RTA 26:53.675-26:53.730
Tick 30124(30115), Delay 26272 ms, IGT 25:05.660, RTA 26:53.730-27:20.002
Tick 30162(30153), Delay 10035 ms, IGT 25:07.560, RTA 27:21.853-27:31.888
Tick 30168(30159), Delay 80 ms, IGT 25:07.860, RTA 27:32.139-27:32.219
Tick 30169(30160), Delay 17 ms, IGT 25:07.910, RTA 27:32.219-27:32.236
Tick 30178(30169), Delay 64 ms, IGT 25:08.360, RTA 27:32.639-27:32.703
Tick 30179(30170), Delay 32 ms, IGT 25:08.410, RTA 27:32.703-27:32.735
Tick 30204(30195), Delay 2755 ms, IGT 25:09.660, RTA 27:33.937-27:36.692
Tick 30212(30203), Delay 13336 ms, IGT 25:10.060, RTA 27:37.045-27:50.381
Tick 30319(30310), Delay 71234 ms, IGT 25:15.410, RTA 27:55.681-29:06.915
Tick 30345(30336), Delay 25728 ms, IGT 25:16.710, RTA 29:08.167-29:33.895
Tick 30363(30354), Delay 45693 ms, IGT 25:17.610, RTA 29:34.749-30:20.442
Tick 30490(30481), Delay 83 ms, IGT 25:23.960, RTA 30:26.744-30:26.827
Tick 30491(30482), Delay 16 ms, IGT 25:24.010, RTA 30:26.827-30:26.843
Tick 30504(30495), Delay 62 ms, IGT 25:24.660, RTA 30:27.442-30:27.504
Tick 30505(30496), Delay 41 ms, IGT 25:24.710, RTA 30:27.504-30:27.545
Tick 30704(30695), Delay 6005 ms, IGT 25:34.660, RTA 30:37.441-30:43.446
Tick 30752(30743), Delay 55 ms, IGT 25:37.060, RTA 30:45.793-30:45.848
Tick 31032(31023), Delay 55 ms, IGT 25:51.060, RTA 30:59.793-30:59.848
Tick 31111(31102), Delay 63 ms, IGT 25:55.010, RTA 31:03.743-31:03.806
Tick 31112(31103), Delay 45 ms, IGT 25:55.060, RTA 31:03.806-31:03.851
Tick 31113(31104), Delay 45 ms, IGT 25:55.110, RTA 31:03.851-31:03.896
Tick 31148(31139), Delay 56 ms, IGT 25:56.860, RTA 31:05.594-31:05.650
Tick 31149(31140), Delay 45 ms, IGT 25:56.910, RTA 31:05.650-31:05.695
Tick 31164(31155), Delay 55 ms, IGT 25:57.660, RTA 31:06.395-31:06.450
Tick 31165(31156), Delay 44 ms, IGT 25:57.710, RTA 31:06.450-31:06.494
Tick 31209(31199), Delay 7813 ms, IGT 25:59.860, RTA 31:08.647-31:16.460
Tick 31287(31276), Delay 73 ms, IGT 26:03.707, RTA 31:20.313-31:20.386
Tick 31288(31277), Delay 25 ms, IGT 26:03.757, RTA 31:20.386-31:20.411
Tick 31814(31803), Delay 45 ms, IGT 26:30.057, RTA 31:46.664-31:46.709
Tick 31956(31945), Delay 55 ms, IGT 26:37.157, RTA 31:53.759-31:53.814
Tick 32005(31994), Delay 57 ms, IGT 26:39.607, RTA 31:56.209-31:56.266
Tick 32006(31995), Delay 39247 ms, IGT 26:39.657, RTA 31:56.266-32:35.513
Tick 32020(32009), Delay 55 ms, IGT 26:40.357, RTA 32:36.163-32:36.218
Tick 32077(32066), Delay 19364 ms, IGT 26:43.207, RTA 32:39.016-32:58.380
Tick 32106(32095), Delay 45 ms, IGT 26:44.657, RTA 32:59.782-32:59.827
Tick 32319(32308), Delay 55 ms, IGT 26:55.307, RTA 33:10.427-33:10.482
Tick 32541(32530), Delay 59 ms, IGT 27:06.407, RTA 33:21.531-33:21.590
Tick 32542(32531), Delay 41 ms, IGT 27:06.457, RTA 33:21.590-33:21.631
Tick 32850(32839), Delay 1193 ms, IGT 27:21.857, RTA 33:36.981-33:38.174
Tick 32860(32849), Delay 866 ms, IGT 27:22.357, RTA 33:38.626-33:39.492
Tick 32961(32950), Delay 55 ms, IGT 27:27.407, RTA 33:44.490-33:44.545
Tick 33359(33348), Delay 55 ms, IGT 27:47.307, RTA 34:04.390-34:04.445
Tick 33956(33945), Delay 55 ms, IGT 28:17.157, RTA 34:34.242-34:34.297
